,nodeID,nodeLabel,latitude,longitude,mode,year
0,0,Arriaga,-2.925519796341774,43.25913547482102,tram,2002.0
1,1,Uribitarte,-2.92903517232125,43.266521155808846,tram,2002.0
2,2,Abandoibarra,-2.940685976601799,43.26858947197934,tram,2003.0
3,3,Sabino Arana,-2.946204608943361,43.26321728776463,tram,2003.0
4,4,Atxuri,-2.921678090892982,43.25412185399438,tram,2002.0
5,5,Ribera,-2.924431432063159,43.2557452162321,tram,2002.0
6,6,Abando,-2.926730254664534,43.26106807100268,tram,2002.0
7,7,Pío Baroja,-2.925560442231784,43.264110786281265,tram,2002.0
8,8,Guggenheim,-2.935735814228735,43.268305858341364,tram,2003.0
9,9,Euskalduna,-2.94416456223451,43.26620280243219,tram,2003.0
10,10,San Mamés,-2.949156660114966,43.26190790188957,tram,2003.0
11,11,Ospitalea/Hospital,-2.951353365290316,43.25958686228378,tram,2012.0
12,12,Basurto,-2.949081899240269,43.25802597851634,tram,2012.0
13,13,Autonomía,-2.943960494747358,43.25774466676634,tram,2012.0
14,14,Matiko,-2.925316352551306,43.268986338794974,heavy_rail,2017.0
15,15,Uribarri,-2.920310571444162,43.26693039473875,heavy_rail,2017.0
16,16,Txurdinaga,-2.906550531892378,43.25924972876342,heavy_rail,2017.0
17,17,Otxarkoaga,-2.899066041188434,43.25872034554581,heavy_rail,2017.0
18,18,Kukullaga,-2.889713827234061,43.25138089269049,heavy_rail,2017.0
19,19,Zurbaranbarri,-2.913969632500539,43.26366855941626,heavy_rail,2017.0
20,20,Zazpikaleak/Casco Viejo,-2.921914739958623,43.25998889943284,heavy_rail,2017.0
21,21,Matiko,-2.925316352551306,43.268986338794974,None,2017.0
22,22,Uribarri,-2.920310571444162,43.26693039473875,None,2017.0
23,23,Arriaga,-2.925519796341774,43.25913547482102,None,2002.0
24,24,Uribitarte,-2.92903517232125,43.266521155808846,None,2002.0
25,25,Abandoibarra,-2.940685976601799,43.26858947197934,None,2003.0
26,26,Sabino Arana,-2.946204608943361,43.26321728776463,None,2003.0
27,27,Txurdinaga,-2.906550531892378,43.25924972876342,None,2017.0
28,28,Otxarkoaga,-2.899066041188434,43.25872034554581,None,2017.0
29,29,Kukullaga,-2.889713827234061,43.25138089269049,None,2017.0
30,30,Atxuri,-2.921678090892982,43.25412185399438,None,2002.0
31,31,Ribera,-2.924431432063159,43.2557452162321,None,2002.0
32,32,Abando,-2.926730254664534,43.26106807100268,None,2002.0
33,33,Pío Baroja,-2.925560442231784,43.264110786281265,None,2002.0
34,34,Zurbaranbarri,-2.913969632500539,43.26366855941626,None,2017.0
35,35,Zazpikaleak/Casco Viejo,-2.921914739958623,43.25998889943284,None,2017.0
36,36,Guggenheim,-2.935735814228735,43.268305858341364,None,2003.0
37,37,Euskalduna,-2.94416456223451,43.26620280243219,None,2003.0
38,38,San Mamés,-2.949156660114966,43.26190790188957,None,2003.0
39,39,Ospitalea/Hospital,-2.951353365290316,43.25958686228378,None,2012.0
40,40,Basurto,-2.949081899240269,43.25802597851634,None,2012.0
41,41,Autonomía,-2.943960494747358,43.25774466676634,None,2012.0
