,nodeID,nodeLabel,latitude,longitude,mode,year
0,0,La Plage,0.0956681,49.4940751,light_rail,2012.0
1,1,La Plage,0.0956974,49.4940972,light_rail,2012.0
2,2,Saint-Roch,0.1012215,49.493477,light_rail,2012.0
3,3,Hôtel de Ville,0.1083877,49.49334,light_rail,2012.0
4,4,Palais de Justice,0.1178832,49.4925847,light_rail,2012.0
5,5,Université,0.1268436,49.4958591,light_rail,2012.0
6,6,Gares,0.1242312,49.492511,light_rail,2012.0
7,7,Gares,0.1241973,49.492517,light_rail,2012.0
8,8,Hôtel de Ville,0.1084001,49.4933636,light_rail,2012.0
9,9,Rond Point,0.1295362,49.4993094,light_rail,2012.0
10,10,Palais de Justice,0.1179125,49.4926068,light_rail,2012.0
11,11,Université,0.1267999,49.4958716,light_rail,2012.0
12,12,Rond Point,0.1294989,49.499323,light_rail,2012.0
13,13,Saint-Pierre,0.1747059,49.5118512,light_rail,2012.0
14,14,Frileuse,0.1490284,49.5092073,light_rail,2012.0
15,15,Place Jenner,0.1381906,49.5086262,light_rail,2012.0
16,16,Schuman,0.1641527,49.5140802,light_rail,2012.0
17,17,Atrium,0.1709041,49.5158279,light_rail,2012.0
18,18,Caucriauville - Pré Fleuri,0.1800828,49.5082802,light_rail,2012.0
19,19,Curie,0.1578066,49.5092526,light_rail,2012.0
20,20,Verlaine,0.1641333,49.5093577,light_rail,2012.0
21,21,Caucriauville - Pré Fleuri,0.180123,49.5086451,light_rail,2012.0
22,22,Atrium,0.1703566,49.5160043,light_rail,2012.0
23,23,Place Jenner,0.1377794,49.5085745,light_rail,2012.0
24,24,Shuman,0.1637448,49.5137837,light_rail,2012.0
25,25,Frileuse,0.1484197,49.5092041,light_rail,2012.0
26,26,Curie,0.1571971,49.5092746,light_rail,2012.0
27,27,Saint-Pierre,0.1746874,49.5122493,light_rail,2012.0
28,28,Verlaine,0.1635223,49.5093782,light_rail,2012.0
29,29,Saint-Roch,0.1011876,49.4934488,light_rail,2012.0
30,30,La Plage,0.0956681,49.4940751,light_rail,2012.0
31,31,La Plage,0.0956974,49.4940972,light_rail,2012.0
32,32,Saint-Roch,0.1012215,49.493477,light_rail,2012.0
33,33,Hôtel de Ville,0.1083877,49.49334,light_rail,2012.0
34,34,Palais de Justice,0.1178832,49.4925847,light_rail,2012.0
35,35,Université,0.1268436,49.4958591,light_rail,2012.0
36,36,Gares,0.1242312,49.492511,light_rail,2012.0
37,37,Gares,0.1241973,49.492517,light_rail,2012.0
38,38,Hôtel de Ville,0.1084001,49.4933636,light_rail,2012.0
39,39,Rond Point,0.1295362,49.4993094,light_rail,2012.0
40,40,Palais de Justice,0.1179125,49.4926068,light_rail,2012.0
41,41,Université,0.1267999,49.4958716,light_rail,2012.0
42,42,Rond Point,0.1294989,49.499323,light_rail,2012.0
43,43,Mare au Clerc,0.1269409,49.5117969,light_rail,2012.0
44,44,Place Jenner,0.1367155,49.508755,light_rail,2012.0
45,45,Place Jenner,0.1367409,49.5087735,light_rail,2012.0
46,46,Sacré-Cœur,0.1210525,49.5156552,light_rail,2012.0
47,47,Mare Rouge,0.116369,49.5188609,light_rail,2012.0
48,48,Grand Hameau,0.1058672,49.5299134,light_rail,2012.0
49,49,Mare Rouge,0.1163786,49.5188762,light_rail,2012.0
50,50,Mare au Clerc,0.1269505,49.5118122,light_rail,2012.0
