,nodeID,nodeLabel,latitude,longitude,mode,year
0,0,,3.0712173,50.6372948,heavy_rail,1983.0
1,1,Wazemmes,3.0515983,50.6234558,heavy_rail,1984.0
2,2,,3.0975442,50.6302893,heavy_rail,1983.0
3,3,Villeneuve d'Ascq Hôtel de Ville,3.1307386,50.6191147,heavy_rail,1983.0
4,4,Villeneuve d'Ascq Hôtel de Ville,3.1308523,50.6191838,heavy_rail,1983.0
5,5,Porte des Postes,3.0501806,50.6184476,heavy_rail,1984.0
6,6,,3.0608677,50.6316357,heavy_rail,1983.0
7,7,Gare Lille - Flandres,3.0710152,50.6374689,heavy_rail,1983.0
8,8,Phalempins,3.1576346,50.7323439,heavy_rail,2000.0
9,9,,3.1626462,50.717284,heavy_rail,1999.0
10,10,Tourcoing Centre,3.1600924,50.7209577,heavy_rail,1999.0
11,11,Gare Lille - Flandres,3.0710791,50.6373662,heavy_rail,1989.0
12,12,Porte des Postes,3.0502802,50.6184387,heavy_rail,1989.0
13,13,Mairie de Lille,3.0706587,50.6328076,heavy_rail,1989.0
14,14,Colbert,3.1565704,50.7258472,heavy_rail,2000.0
15,15,,3.1796544,50.7394825,heavy_rail,2000.0
16,16,C.H. Dron,3.180859,50.7434032,heavy_rail,2000.0
17,17,,3.0455127,50.6220789,heavy_rail,1989.0
18,18,,3.0403082,50.6262287,heavy_rail,1989.0
19,19,,3.0887019,50.6423001,heavy_rail,1995.0
20,20,,3.0357796,50.629911,heavy_rail,1989.0
21,21,,3.030842,50.6339259,heavy_rail,1989.0
22,22,,3.0139024,50.6443751,heavy_rail,1989.0
23,23,,2.9851942,50.645574,heavy_rail,1989.0
24,24,,3.099278,50.6420731,heavy_rail,1995.0
25,25,,2.9952327,50.6463068,heavy_rail,1989.0
26,26,,3.1100713,50.6420965,heavy_rail,1995.0
27,27,,3.1313678,50.6698786,heavy_rail,1999.0
28,28,Arrêt de tram Romarin (dir.Lille Flandres),3.0750494,50.645438,light_rail,1909.0
29,29,Lille Flandres,3.0708018,50.6375025,light_rail,1909.0
30,30,Arrêt de tram Romarin (dir.Tourcoing/Roubaix),3.0756211,50.6459447,light_rail,1909.0
31,31,Gare Lille Europe,3.0739987,50.6400192,light_rail,1909.0
32,32,Gare Lille Europe,3.0739372,50.6399986,light_rail,1909.0
33,33,Arrêt de tram Romarin (dir.Lille Flandres),3.0750494,50.645438,light_rail,1909.0
34,34,Lille Flandres,3.0708018,50.6375025,light_rail,1909.0
35,35,Arrêt de tram Romarin (dir.Tourcoing/Roubaix),3.0756211,50.6459447,light_rail,1909.0
36,36,Gare Lille Europe,3.0739987,50.6400192,light_rail,1909.0
37,37,Gare Lille Europe,3.0739372,50.6399986,light_rail,1909.0
38,38,Arrêt de tram Romarin (dir.Lille Flandres),3.0750494,50.645438,None,1909.0
39,39,Phalempins,3.1576346,50.7323439,None,2000.0
40,40,Lille Flandres,3.0708018,50.6375025,None,1909.0
41,41,Arrêt de tram Romarin (dir.Tourcoing/Roubaix),3.0756211,50.6459447,None,1909.0
42,42,Gare Lille Europe,3.0739987,50.6400192,None,1909.0
43,43,Gare Lille Europe,3.0739372,50.6399986,None,1909.0
44,44,,3.1626462,50.717284,None,1999.0
45,45,Tourcoing Centre,3.1600924,50.7209577,None,1999.0
46,46,Gare Lille - Flandres,3.0710791,50.6373662,None,1989.0
47,47,,3.0712173,50.6372948,None,1983.0
48,48,Wazemmes,3.0515983,50.6234558,None,1984.0
49,49,,3.0975442,50.6302893,None,1983.0
50,50,Villeneuve d'Ascq Hôtel de Ville,3.1307386,50.6191147,None,1983.0
51,51,Porte des Postes,3.0502802,50.6184387,None,1989.0
52,52,Villeneuve d'Ascq Hôtel de Ville,3.1308523,50.6191838,None,1983.0
53,53,Mairie de Lille,3.0706587,50.6328076,None,1989.0
54,54,Colbert,3.1565704,50.7258472,None,2000.0
55,55,Porte des Postes,3.0501806,50.6184476,None,1984.0
56,56,,3.1796544,50.7394825,None,2000.0
57,57,,3.0608677,50.6316357,None,1983.0
58,58,C.H. Dron,3.180859,50.7434032,None,2000.0
59,59,Gare Lille - Flandres,3.0710152,50.6374689,None,1983.0
60,60,,3.0455127,50.6220789,None,1989.0
61,61,Cormontaigne,3.0402998,50.6262355,None,0.0
62,62,,3.0403082,50.6262287,None,1989.0
63,63,,3.0887019,50.6423001,None,1995.0
64,64,,3.0357796,50.629911,None,1989.0
65,65,,3.030842,50.6339259,None,1989.0
66,66,,3.0139024,50.6443751,None,1989.0
67,67,,2.9851942,50.645574,None,1989.0
68,68,,3.099278,50.6420731,None,1995.0
69,69,,2.9952327,50.6463068,None,1989.0
70,70,,3.0074105,50.6467576,None,0.0
71,71,,3.1100713,50.6420965,None,1995.0
72,72,,3.1313678,50.6698786,None,1999.0
