nodeID,nodeLabel,latitude,longitude,mode,year
0,,3.0712173,50.6372948,heavy_rail,1983.0
1,Wazemmes,3.0515983,50.6234558,heavy_rail,1984.0
2,,3.0975442,50.6302893,heavy_rail,1983.0
3,Villeneuve d'Ascq Hôtel de Ville,3.1307386,50.6191147,heavy_rail,1983.0
4,Villeneuve d'Ascq Hôtel de Ville,3.1308523,50.6191838,heavy_rail,1983.0
5,Porte des Postes,3.0501806,50.6184476,heavy_rail,1984.0
6,,3.0608677,50.6316357,heavy_rail,1983.0
7,Gare Lille - Flandres,3.0710152,50.6374689,heavy_rail,1983.0
8,Phalempins,3.1576346,50.7323439,heavy_rail,2000.0
9,,3.1626462,50.717284,heavy_rail,1999.0
10,Tourcoing Centre,3.1600924,50.7209577,heavy_rail,1999.0
11,Gare Lille - Flandres,3.0710791,50.6373662,heavy_rail,1989.0
12,Porte des Postes,3.0502802,50.6184387,heavy_rail,1989.0
13,Mairie de Lille,3.0706587,50.6328076,heavy_rail,1989.0
14,Colbert,3.1565704,50.7258472,heavy_rail,2000.0
15,,3.1796544,50.7394825,heavy_rail,2000.0
16,C.H. Dron,3.180859,50.7434032,heavy_rail,2000.0
17,,3.0455127,50.6220789,heavy_rail,1989.0
18,,3.0403082,50.6262287,heavy_rail,1989.0
19,,3.0887019,50.6423001,heavy_rail,1995.0
20,,3.0357796,50.629911,heavy_rail,1989.0
21,,3.030842,50.6339259,heavy_rail,1989.0
22,,3.0139024,50.6443751,heavy_rail,1989.0
23,,2.9851942,50.645574,heavy_rail,1989.0
24,,3.099278,50.6420731,heavy_rail,1995.0
25,,2.9952327,50.6463068,heavy_rail,1989.0
26,,3.1100713,50.6420965,heavy_rail,1995.0
27,,3.1313678,50.6698786,heavy_rail,1999.0
28,Arrêt de tram Romarin (dir.Lille Flandres),3.0750494,50.645438,light_rail,1909.0
29,Lille Flandres,3.0708018,50.6375025,light_rail,1909.0
30,Arrêt de tram Romarin (dir.Tourcoing/Roubaix),3.0756211,50.6459447,light_rail,1909.0
31,Gare Lille Europe,3.0739987,50.6400192,light_rail,1909.0
32,Gare Lille Europe,3.0739372,50.6399986,light_rail,1909.0
33,Arrêt de tram Romarin (dir.Lille Flandres),3.0750494,50.645438,light_rail,1909.0
34,Lille Flandres,3.0708018,50.6375025,light_rail,1909.0
35,Arrêt de tram Romarin (dir.Tourcoing/Roubaix),3.0756211,50.6459447,light_rail,1909.0
36,Gare Lille Europe,3.0739987,50.6400192,light_rail,1909.0
37,Gare Lille Europe,3.0739372,50.6399986,light_rail,1909.0
38,Cormontaigne,3.0402998,50.6262355,None,0.0
39,,3.0074105,50.6467576,None,0.0
